dataset_source,llm,code,label
self_constructed,Human,"def binary_search(arr, x):
    low = 0
    high = len(arr) - 1
    mid = 0
    while low <= high:
        mid = (high + low) // 2
        if arr[mid] < x:
            low = mid + 1
        elif arr[mid] > x:
            high = mid - 1
        else:
            return mid
    return -1",0
self_constructed,Human,"def bsearch(a, v):
    lo, hi = 0, len(a) - 1
    while lo <= hi:
        mid = (lo + hi) >> 1
        if a[mid] == v:
            return mid
        elif a[mid] < v:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1",0
self_constructed,Human,"def binary_search_recursive(arr, low, high, x):
    if high >= low:
        mid = (high + low) // 2
        if arr[mid] == x:
            return mid
        elif arr[mid] > x:
            return binary_search_recursive(arr, low, mid - 1, x)
        else:
            return binary_search_recursive(arr, mid + 1, high, x)
    else:
        return -1",0
self_constructed,Human,"def linear_search(arr, x):
    for i in range(len(arr)):
        if arr[i] == x:
            return i
    return -1",0
self_constructed,Human,"def search(arr, n, x):
    for i in range(0, n):
        if (arr[i] == x):
            return i
    return -1",0
self_constructed,Human,"import math

def jump_search(arr, x):
    n = len(arr)
    step = math.sqrt(n)
    prev = 0
    while arr[int(min(step, n) - 1)] < x:
        prev = step
        step += math.sqrt(n)
        if prev >= n:
            return -1
    while arr[int(prev)] < x:
        prev += 1
        if prev == min(step, n):
            return -1
    if arr[int(prev)] == x:
        return int(prev)
    return -1",0
self_constructed,Human,"import math

def jumpSearch(arr, x, n):
    step = math.sqrt(n)
    prev = 0
    while arr[int(min(step, n)-1)] < x:
        prev = step
        step += math.sqrt(n)
        if prev >= n:
            return -1
    while arr[int(prev)] < x:
        prev += 1
        if prev == min(step, n):
            return -1
    if arr[int(prev)] == x:
        return prev
    return -1",0
self_constructed,Human,"def fib(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a",0
self_constructed,Human,"def fibonacci(n):
    if n <= 0:
        return []
    elif n == 1:
        return [0]
    fibs = [0, 1]
    for i in range(2, n):
        fibs.append(fibs[-1] + fibs[-2])
    return fibs",0
self_constructed,Human,"def factorial(n):
    result = 1
    for i in range(2, n + 1):
        result *= i
    return result",0
self_constructed,Human,"def factorial_recursive(n):
    if n == 0:
        return 1
    return n * factorial_recursive(n - 1)",0
self_constructed,Human,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True",0
self_constructed,Human,"def sieve_of_eratosthenes(n):
    primes = [True] * (n + 1)
    primes[0] = primes[1] = False
    for i in range(2, int(n**0.5) + 1):
        if primes[i]:
            for j in range(i*i, n + 1, i):
                primes[j] = False
    return [i for i, v in enumerate(primes) if v]",0
self_constructed,Human,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a",0
self_constructed,Human,"def gcd_recursive(a, b):
    if b == 0:
        return a
    return gcd_recursive(b, a % b)",0
self_constructed,Human,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def lcm(a, b):
    return a * b // gcd(a, b)",0
self_constructed,Human,"from math import gcd

def lcm(a, b):
    return abs(a * b) // gcd(a, b)",0
self_constructed,Human,"def is_palindrome(s):
    s = s.lower().replace(' ', '')
    return s == s[::-1]",0
self_constructed,Human,"def palindrome_check(string):
    left = 0
    right = len(string) - 1
    while left < right:
        if string[left] != string[right]:
            return False
        left += 1
        right -= 1
    return True",0
self_constructed,Human,"def is_anagram(s1, s2):
    return sorted(s1.lower()) == sorted(s2.lower())",0
self_constructed,Human,"from collections import Counter

def check_anagram(str1, str2):
    return Counter(str1.replace(' ', '').lower()) == Counter(str2.replace(' ', '').lower())",0
self_constructed,Human,"def count_vowels(s):
    count = 0
    for c in s.lower():
        if c in 'aeiou':
            count += 1
    return count",0
self_constructed,Human,"def vowel_count(s):
    vowels = set('aeiouAEIOU')
    return sum(1 for ch in s if ch in vowels)",0
self_constructed,Human,"def reverse_string(s):
    return s[::-1]",0
self_constructed,Human,"def reverse(s):
    result = ''
    for ch in s:
        result = ch + result
    return result",0
self_constructed,Human,"def caesar_cipher(text, shift):
    result = ''
    for char in text:
        if char.isalpha():
            base = ord('A') if char.isupper() else ord('a')
            result += chr((ord(char) - base + shift) % 26 + base)
        else:
            result += char
    return result",0
self_constructed,Human,"def encrypt(message, shift):
    cipher = ''
    for char in message:
        if char == ' ':
            cipher += char
        elif char.isupper():
            cipher += chr((ord(char) + shift - 65) % 26 + 65)
        else:
            cipher += chr((ord(char) + shift - 97) % 26 + 97)
    return cipher",0
self_constructed,Human,"def frequency_counter(lst):
    freq = {}
    for item in lst:
        freq[item] = freq.get(item, 0) + 1
    return freq",0
self_constructed,Human,"from collections import Counter

def word_frequency(text):
    words = text.lower().split()
    return dict(Counter(words))",0
self_constructed,Human,"def two_sum(nums, target):
    seen = {}
    for i, num in enumerate(nums):
        complement = target - num
        if complement in seen:
            return [seen[complement], i]
        seen[num] = i
    return []",0
self_constructed,Human,"def twoSum(nums, target):
    d = {}
    for idx, val in enumerate(nums):
        if target - val in d:
            return [d[target - val], idx]
        d[val] = idx",0
self_constructed,Human,"def merge_sorted_lists(l1, l2):
    result = []
    i = j = 0
    while i < len(l1) and j < len(l2):
        if l1[i] <= l2[j]:
            result.append(l1[i])
            i += 1
        else:
            result.append(l2[j])
            j += 1
    result.extend(l1[i:])
    result.extend(l2[j:])
    return result",0
self_constructed,Human,"def merge(a, b):
    merged = []
    ia, ib = 0, 0
    while ia < len(a) and ib < len(b):
        if a[ia] < b[ib]:
            merged.append(a[ia]); ia += 1
        else:
            merged.append(b[ib]); ib += 1
    return merged + a[ia:] + b[ib:]",0
self_constructed,Human,"def remove_duplicates(lst):
    seen = set()
    result = []
    for item in lst:
        if item not in seen:
            seen.add(item)
            result.append(item)
    return result",0
self_constructed,Human,"def deduplicate(seq):
    return list(dict.fromkeys(seq))",0
self_constructed,Human,"def matrix_add(A, B):
    rows = len(A)
    cols = len(A[0])
    result = [[0]*cols for _ in range(rows)]
    for i in range(rows):
        for j in range(cols):
            result[i][j] = A[i][j] + B[i][j]
    return result",0
self_constructed,Human,"def add_matrices(X, Y):
    return [[X[i][j] + Y[i][j] for j in range(len(X[0]))] for i in range(len(X))]",0
self_constructed,Human,"def matrix_multiply(A, B):
    rows_A, cols_A = len(A), len(A[0])
    cols_B = len(B[0])
    result = [[0] * cols_B for _ in range(rows_A)]
    for i in range(rows_A):
        for j in range(cols_B):
            for k in range(cols_A):
                result[i][j] += A[i][k] * B[k][j]
    return result",0
self_constructed,Human,"def matmul(a, b):
    n = len(a)
    m = len(b[0])
    p = len(b)
    c = [[0]*m for _ in range(n)]
    for i in range(n):
        for j in range(m):
            c[i][j] = sum(a[i][k]*b[k][j] for k in range(p))
    return c",0
